    x-direction              y-direction               z-direction
  -6.6890937233665686E-017   3.1086244689504386E-017   1.3877787807814457E-017
   8.3266726846886737E-019   6.8833827526759705E-017   3.1086244689504386E-017
  -3.5388358909926862E-017   9.5479180117763461E-017  -2.2204460492503131E-018
  -1.3322676295501878E-017   7.1054273576010020E-017   1.4988010832439614E-017
  -1.0547118733938987E-017   5.9952043329758457E-017  -3.3306690738754695E-018
  -2.2482016248659421E-017   6.2172489379008772E-017   1.1102230246251566E-018
  -3.7747582837255325E-017   5.9952043329758457E-017   5.5511151231257828E-019
  -4.1910919179599660E-017   4.8849813083506888E-017   1.3322676295501878E-017
  -4.3853809472693685E-017   1.7763568394002505E-017  -1.3877787807814457E-017
  -4.1078251911130792E-017   5.7731597280508142E-017  -3.0531133177191807E-017
  -4.3021142204224817E-017   8.4376949871511898E-017   3.8302694349567898E-017
  -1.6653345369377347E-018   3.5527136788005010E-017   8.8817841970012525E-018
  -1.0824674490095277E-017   6.2172489379008772E-017  -1.0547118733938987E-017
  -6.8278716014447126E-017   7.3274719625260335E-017  -2.6645352591003756E-017
  -4.4964032497318843E-017   4.4408920985006264E-017   5.5511151231257830E-018
   1.4155343563970746E-017   5.9952043329758457E-017  -2.0539125955565396E-017
  -1.1934897514720433E-017   7.9936057773011268E-017  -4.9960036108132046E-017
  -1.9984014443252817E-017   4.4408920985006264E-017  -2.9976021664879229E-017
  -2.1094237467877975E-017   4.6629367034256573E-017  -6.3282712403633917E-017
  -2.1371793224034264E-017   5.1070259132757203E-017  -5.6066262743570406E-017
  -9.1593399531575419E-018   6.8833827526759705E-017  -1.8873791418627663E-017
  -4.2743586448068528E-017   2.8865798640254071E-017  -5.3845816694320091E-017
  -1.8596235662471373E-017   2.8865798640254071E-017  -1.3322676295501878E-017
  -4.3298697960381107E-017   3.1086244689504386E-017  -4.3853809472693685E-017
  -8.1878948066105300E-017   6.6613381477509390E-018  -6.6058269965196811E-017
  -8.4376949871511898E-017   2.2204460492503132E-017  -2.8310687127941492E-017
